,RA,DEC,QUICK_OBJECT_ID,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z,Z
526,349.0746435555086,20.658624777850164,10402800079517,21.808022,0.08257667,20.02228,0.037970323,99.0,99.0,18.816854,0.029351577,0.558826
527,349.4658712827538,20.753503507990956,10402800003992,21.575308,0.09225324,19.931837,0.04209759,99.0,99.0,99.0,99.0,0.421265
528,349.52652327089504,20.45371807377215,10402800053808,22.454542,0.09774222,20.249168,0.037842005,99.0,99.0,19.19945,0.030750124,0.511984
529,348.58524466295665,19.627410186956993,10402800039924,21.203842,0.06735188,20.31619,0.036513805,99.0,99.0,19.050406,0.026363114,0.627949
530,349.1819603956375,21.18012698551847,10402800010665,22.07478,0.08872169,99.0,99.0,99.0,99.0,99.0,99.0,0.608829
531,350.1017201735927,20.770755235363993,10402800122759,22.58713,0.12147167,20.499567,0.039647114,99.0,99.0,19.397928,0.025800042,0.524246
532,348.99307524145433,20.99865694224006,10402800032866,22.628202,0.12644023,20.791346,0.06453768,99.0,99.0,19.307611,0.042639256,0.617207
533,349.0374373294662,20.14992886949011,10402800037856,22.148787,0.08947445,20.410704,0.039710365,99.0,99.0,19.295824,0.035217598,0.590853
534,348.1375521838008,20.718010509737013,10402800068872,22.217096,0.09383954,20.433945,0.037678365,99.0,99.0,19.184664,0.02439986,0.516299
535,348.85188419474093,19.77595670646072,10402800060297,22.562714,0.12220014,20.611294,0.05829059,99.0,99.0,19.534458,0.046139482,0.594465
536,348.5665687440094,21.221548541952473,10402800123458,20.25483,0.034544524,18.436487,0.013519122,99.0,99.0,17.512426,0.010672472,0.282054
537,348.1857770644368,20.324873737541935,10402800028748,21.361254,0.062506266,19.983278,0.033634946,99.0,99.0,18.927052,0.020564018,0.52296
538,349.1364189972855,20.800534029109684,10402800104612,22.379194,0.093494006,99.0,99.0,99.0,99.0,19.276453,0.0355082,0.532058
539,348.61473482919666,20.512717542416368,10402800091975,20.649422,0.03146456,19.802843,0.026335692,99.0,99.0,19.382761,0.04613155,0.627131
540,348.66689263112585,20.537721783893033,10402800050761,21.816664,0.075539514,20.214632,0.031831436,99.0,99.0,19.14671,0.021751544,0.512903
541,348.614984837243,19.87082704598187,10402800058064,21.886824,0.076642506,19.700172,0.029182976,99.0,99.0,18.948832,0.03135551,0.580966
542,348.6483685473168,21.728204120479987,10402800006576,22.731054,0.14511049,20.560768,0.04931839,99.0,99.0,18.84197,0.028471606,0.644411
543,348.7895774223019,21.37897343545758,10402800013315,21.763243,0.08777597,20.463863,0.037057463,99.0,99.0,19.450167,0.027727349,0.282288
544,348.5831383535583,20.85889465089143,10402800068064,21.697023,0.067018986,20.86858,0.045470215,99.0,99.0,20.358173,0.047770984,0.303446
545,348.21863231572263,21.022909088153725,10402800041756,19.702929,0.017434979,18.206898,0.009377183,99.0,99.0,17.472622,0.0074383486,0.365951
546,349.801265626004,20.898410512241057,10402800048538,20.072144,0.02309739,18.399036,0.0122867115,99.0,99.0,17.626205,0.010247243,0.353542
547,348.8962920066639,20.130217772146352,10402800056842,22.332058,0.090770066,20.32928,0.029792488,99.0,99.0,19.075933,0.028976515,0.567346
548,348.47843529646826,19.863939273943032,10402800057918,21.067327,0.05232164,19.563118,0.030147186,99.0,99.0,18.472181,0.019479694,0.519473
549,349.18780110713107,21.32618320272593,10402800063992,20.506273,0.028713644,18.883314,0.01101435,99.0,99.0,99.0,99.0,0.314492
550,350.0048411427224,20.856907979093762,10402800079400,22.839132,0.117081285,20.627039,0.057452075,99.0,99.0,19.157928,0.02901325,0.61407
551,348.6702444576445,21.45424499730177,10402800013200,22.011803,0.11843216,99.0,99.0,99.0,99.0,99.0,99.0,0.527194
552,349.0518036106146,19.868168097806873,10402800111437,21.62974,0.07201728,20.304876,0.04608521,99.0,99.0,19.44611,0.044522263,0.608303
553,348.4645692799103,21.47858831541643,10402800099329,22.115126,0.10587797,20.203156,0.035286985,99.0,99.0,19.10484,0.027465519,0.522327
554,349.14891069680635,21.316715634316083,10402800009196,22.141724,0.089779824,20.771833,0.03738806,99.0,99.0,19.62537,0.040506747,0.615367
555,348.63731683268264,19.914330280218792,10402800039197,22.032173,0.06728761,20.246735,0.025133211,99.0,99.0,19.231693,0.025018888,0.521262
556,348.4020655761986,20.11013739967197,10402800002248,21.815706,0.0816725,20.30352,0.029945157,99.0,99.0,19.188282,0.026991444,0.522004
557,348.8974116574821,20.516074789374613,10402800019059,20.789669,0.03213689,18.783733,0.014118033,99.0,99.0,17.8394,0.014513789,0.395907
558,349.684688550114,20.46809368723747,10402800054055,18.537813,0.007911571,17.22125,0.005397032,99.0,99.0,16.531397,0.0059889895,0.205261
559,349.25316455760776,21.057330849807016,10402800078299,20.892487,0.04374937,19.417318,0.017059531,99.0,99.0,18.445637,0.017369937,0.337229
