,RA,DEC,QUICK_OBJECT_ID,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z,Z,MAG_AUTO_G-MAG_AUTO_R,MAG_AUTO_G-MAG_AUTO_I,MAG_AUTO_G-MAG_AUTO_Z,MAG_AUTO_R-MAG_AUTO_I,MAG_AUTO_R-MAG_AUTO_Z,MAG_AUTO_I-MAG_AUTO_Z
67,348.4671510062249,20.288331092101217,10402800017362,21.844652,0.07430136,20.121162,0.02929013,99.0,99.0,19.050306,0.020999376,0.539321,1.7234898,-77.15535,2.7943459,-78.87884,1.0708561,79.94969
68,348.69309976641824,19.779102505637866,10402800060172,21.649296,0.06034918,19.89848,0.02837792,99.0,99.0,18.77347,0.02509116,0.520641,1.7508163,-77.35071,2.875826,-79.10152,1.1250095,80.22653
69,349.6321392363437,20.338979183068886,10402800037196,19.569662,0.014427526,17.93385,0.00815124,99.0,99.0,17.247156,0.0083329985,0.267916,1.6358128,-79.430336,2.322506,-81.06615,0.6866932,81.752846
71,349.4435294202173,21.21843486431564,10402800003320,17.184694,0.0029665742,16.282318,0.002880885,99.0,99.0,99.0,99.0,0.101851,0.9023762,-81.81531,-81.81531,-82.71768,-82.71768,0.0
72,348.7260190495314,20.53470906493368,10402800050877,22.119816,0.09602722,20.444023,0.037871726,99.0,99.0,19.163471,0.02319637,0.520575,1.6757927,-76.88019,2.9563446,-78.55598,1.2805519,79.83653
73,348.828612976223,21.37375196561773,10402800013376,19.780752,0.032775722,18.281294,0.012488666,99.0,99.0,17.476374,0.011405662,0.279319,1.4994583,-79.219246,2.3043785,-80.718704,0.8049202,81.52363
74,347.61719566332863,20.800484562638147,10402800015934,22.33811,0.1086275,20.409695,0.05000245,99.0,99.0,19.108198,0.03177596,0.519176,1.9284153,-76.66189,3.2299118,-78.5903,1.3014965,79.8918
75,348.2906094967117,20.26370218051207,10402800054303,21.840387,0.067360625,20.247166,0.025199465,99.0,99.0,19.404385,0.02404028,0.424591,1.5932217,-77.159615,2.4360027,-78.75284,0.84278107,79.59561
77,347.8177006590577,20.39552540369759,10402800117335,17.182177,0.0041337893,16.195225,0.0032867813,99.0,99.0,15.496399,0.0023497774,0.138713,0.9869518,-81.817825,1.6857777,-82.80478,0.69882584,83.5036
78,349.5459455015871,20.323121140027865,10402800055826,20.617832,0.030354341,18.877535,0.016443083,99.0,99.0,18.098528,0.017081626,0.312124,1.7402973,-78.38217,2.5193043,-80.12247,0.77900696,80.901474
